Poll	Start	End	Trump	Carson	Bush	Rubio	Cruz	Fiorina	Huckabee	Paul	Kasich	Christie	Walker	Perry	Santorum	Jindal	Graham	Spread
RCP Average	8/31	9/19	28.5	18.8	7.8	7.3	6.5	6.3	4.8	3.5	2.5	1.8	1.8	1.0	0.8	0.3	0.0	Trump +9.7
CNN/ORC	9/17	9/19	24	14	9	11	6	15	6	4	2	3	0	--	1	0	0	Trump +9
CBS/NYT	9/9	9/13	27	23	6	6	5	4	6	3	3	1	2	1	1	0	0	Trump +4
ABC/Wash Post	9/7	9/10	33	20	8	7	7	2	3	5	3	1	2	1	1	1	0	Trump +13
CNN/ORC	9/4	9/8	32	19	9	3	7	3	5	3	2	2	5	0	1	1	1	Trump +13
Monmouth	8/31	9/2	30	18	8	5	8	4	4	2	2	2	3	1	0	0	0	Trump +12
PPP (D)	8/28	8/30	29	15	9	7	6	8	5	1	6	2	5	1	2	0	0	Trump +14
Quinnipiac	8/20	8/25	28	12	7	7	7	5	3	2	5	4	6	1	1	0	0	Trump +16
CNN/ORC	8/13	8/16	24	9	13	8	5	5	4	6	5	3	8	2	1	0	0	Trump +11
FOX News	8/11	8/13	25	12	9	4	10	5	6	3	4	3	6	1	1	1	0	Trump +13
Rasmussen	8/9	8/10	17	8	10	10	7	9	3	4	4	4	9	1	1	1	1	Trump +7
FOX News	7/30	8/2	26	7	15	5	6	2	6	5	3	3	9	1	2	1	0	Trump +11
Monmouth	7/30	8/2	26	5	12	4	6	2	6	4	3	4	11	2	1	1	1	Trump +14
Bloomberg	7/30	8/2	21	5	10	6	4	1	7	5	4	4	8	2	2	1	1	Trump +11
CBS News	7/29	8/2	24	6	13	6	6	0	8	4	1	3	10	2	1	2	0	Trump +11
NBC/WSJ	7/26	7/30	19	10	14	5	9	0	6	6	3	3	15	3	1	1	0	Trump +4
Quinnipiac	7/23	7/28	20	6	10	6	5	1	6	6	5	3	13	2	1	2	1	Trump +7
Rasmussen	7/26	7/27	26	5	10	5	7	1	7	3	5	2	14	2	2	2	1	Trump +12
CNN/ORC	7/22	7/25	18	4	15	6	7	1	5	6	4	4	10	3	2	2	1	Trump +3
PPP (D)	7/20	7/21	19	10	12	10	4	4	8	4	3	3	17	1	1	1	0	Trump +2
ABC/Wash Post	7/16	7/19	24	6	12	7	4	0	8	6	2	3	13	4	1	2	0	Trump +11
FOX News	7/13	7/15	18	6	14	7	4	1	4	8	2	3	15	1	2	0	0	Trump +3
USAT/Suffolk	7/9	7/12	17	4	14	5	6	1	4	4	1	3	8	1	1	1	0	Trump +3
Monmouth	7/9	7/12	13	6	15	6	9	1	7	6	1	2	7	2	2	2	0	Bush +2
CNN/ORC	6/26	6/28	12	7	19	6	3	1	8	7	2	3	6	4	3	2	1	Bush +7
FOX News	6/21	6/23	11	10	15	8	4	3	6	9	2	2	9	2	3	2	1	Bush +4
NBC/WSJ	6/14	6/18	1	11	22	14	4	2	9	7	1	4	17	5	0	0	1	Bush +5
Monmouth	6/11	6/14	2	11	9	9	5	2	8	6	1	4	10	4	3	1	2	Carson +1
FOX News	5/31	6/2	4	11	12	7	8	2	6	9	2	5	12	4	2	1	2	Tie
CNN/ORC	5/29	5/31	3	7	13	14	8	1	10	8	1	4	10	5	2	1	1	Rubio +1
ABC/Wash Post	5/28	5/31	4	8	10	10	8	2	9	11	3	6	11	2	4	1	1	Tie
Quinnipiac	5/19	5/26	5	10	10	10	6	2	10	7	2	4	10	1	0	1	1	Tie
FOX News	5/9	5/12	4	13	13	9	6	1	10	7	2	6	11	2	2	1	0	Tie
PPP (D)	5/7	5/10	--	12	11	13	10	--	12	9	--	5	18	2	--	--	--	Walker +5
NBC/WSJ	4/26	4/30	--	7	23	18	11	1	5	11	--	5	14	2	--	--	--	Bush +5
FOX News	4/19	4/21	5	6	9	13	8	0	9	10	2	6	12	2	1	1	1	Rubio +1
Quinnipiac	4/16	4/21	--	3	13	15	9	1	7	8	2	7	11	3	2	1	2	Rubio +2
CNN/ORC	4/16	4/19	--	4	17	11	7	2	9	11	2	4	12	3	3	2	2	Bush +5
FOX News	3/29	3/31	3	11	12	8	10	1	10	9	1	4	15	3	2	2	0	Walker +3
ABC/Wash Post	3/26	3/29	--	6	21	8	12	1	8	8	1	7	13	1	2	1	1	Bush +8
PPP (D)	3/26	3/31	--	10	17	6	16	--	6	10	--	4	20	3	--	--	--	Walker +3
CNN/ORC	3/13	3/15	--	9	16	7	4	0	10	12	2	7	13	4	1	1	1	Bush +3
McClatchy/Marist	3/1	3/4	--	9	19	5	4	2	10	7	--	6	18	3	2	--	1	Bush +1
Quinnipiac	2/26	3/2	--	7	16	5	6	--	8	6	1	8	18	1	2	2	1	Walker +2
PPP (D)	2/20	2/22	--	18	17	3	5	--	10	4	--	5	25	3	--	--	--	Walker +7
CNN/ORC	2/12	2/15	--	9	12	6	3	1	17	11	2	7	11	2	2	1	1	Huckabee +5
FOX News	1/25	1/27	--	10	15	5	4	--	13	13	2	6	9	4	2	3	1	Bush +2
CNN/ORC	12/18	12/21	--	7	23	5	4	--	6	6	3	13	4	4	2	4	--	Bush +10
ABC/Wash Post	12/11	12/14	--	8	14	7	8	--	7	10	2	7	7	5	3	3	--	Bush +4
McClatchy/Marist	12/3	12/9	--	8	16	3	5	1	12	6	3	10	3	5	3	1	--	Bush +4
CNN/ORC	11/21	11/23	--	11	14	3	7	--	10	8	3	9	5	5	2	1	--	Bush +3
Quinnipiac	11/18	11/23	--	9	14	3	5	--	7	8	2	11	6	3	2	3	--	Bush +3
Rasmussen	11/20	11/21	--	--	18	--	--	--	--	13	--	15	20	--	--	--	--	Walker +2
ABC/Wash Post	10/9	10/12	--	7	13	8	4	--	12	12	2	8	2	6	4	2	--	Bush +1
McClatchy/Marist	9/24	9/29	--	--	15	6	4	--	--	13	--	12	3	7	3	4	--	Bush +2
McClatchy/Marist	8/4	8/4	--	--	13	9	10	--	--	7	--	13	4	7	3	2	--	Tie
FOX News	7/20	7/22	--	--	12	9	9	--	--	11	2	10	4	12	3	4	--	Tie
CNN/ORC	7/18	7/20	--	--	8	6	8	--	12	12	--	13	5	11	3	--	--	Christie +1
Quinnipiac	6/24	6/30	--	--	10	6	8	--	10	11	2	10	8	3	2	1	--	Paul +1
CNN/ORC	5/29	6/1	--	--	12	8	9	--	11	14	--	8	5	6	4	--	--	Paul +2
CNN/ORC	5/2	5/4	--	--	13	6	7	--	10	13	--	9	7	8	2	--	--	Tie
ABC/Wash Post	4/24	4/27	--	--	12	6	7	--	14	15	1	9	5	5	--	2	--	Paul +1
FOX News	4/13	4/15	--	--	14	8	7	--	--	14	--	15	5	5	5	2	--	Christie +1
McClatchy/Marist	4/7	4/10	--	--	13	7	4	--	13	12	0	12	5	3	3	4	--	Tie
Reason-Rupe	3/26	3/30	--	--	11	6	6	--	15	11	--	10	5	--	--	1	--	Huckabee +4
WPA (R)	3/18	3/20	--	--	11	6	9	--	13	13	--	9	5	1	3	3	--	Tie
CNN/ORC	3/7	3/9	--	--	9	5	8	--	10	16	--	8	--	11	3	--	--	Paul +5
PPP (D)	3/6	3/9	--	--	15	6	11	--	18	14	--	14	5	--	--	4	--	Huckabee +3
McClatchy/Marist	2/4	2/9	--	--	8	12	5	--	13	9	1	13	7	2	2	--	--	Tie
CNN/ORC	1/31	2/2	--	--	9	10	10	--	16	14	--	12	--	5	5	--	--	Huckabee +2
PPP (D)	1/23	1/26	--	--	14	8	8	--	16	11	--	13	6	--	--	5	--	Huckabee +2
ABC/Wash Post	1/20	1/23	--	--	18	10	12	--	--	11	--	14	--	--	--	--	--	Bush +4
Quinnipiac	1/15	1/19	--	--	11	8	9	--	--	13	2	12	6	--	--	3	--	Paul +1
NBC/Marist	1/12	1/14	--	--	8	7	5	--	--	9	--	16	4	6	5	3	--	Christie +7
FOX News	12/14	12/16	--	--	12	8	12	--	--	11	--	16	6	3	3	--	--	Christie +4
PPP (D)	12/12	12/15	--	--	10	7	14	--	13	11	--	19	4	--	--	3	--	Christie +5
Quinnipiac	12/3	12/9	--	--	11	7	13	--	--	14	2	17	5	--	--	3	--	Christie +3
McClatchy/Marist	12/3	12/5	--	--	10	7	10	--	--	12	--	18	4	3	4	--	--	Christie +6
CNN/ORC	11/18	11/20	--	--	5	10	11	--	--	15	--	24	--	7	6	--	--	Christie +9
Rasmussen	11/7	11/8	--	--	12	16	12	--	--	20	--	22	5	--	--	--	--	Christie +2
PPP (D)	10/29	10/31	--	--	14	10	15	--	--	16	--	16	--	--	5	6	--	Tie
Quinnipiac	9/23	9/29	--	--	11	12	10	--	--	17	--	13	4	--	--	3	--	Paul +4
PPP (D)	9/25	9/26	--	--	11	10	20	--	--	17	--	14	3	--	3	4	--	Cruz +3
CNN/ORC	9/6	9/8	--	--	10	9	7	--	--	13	--	17	--	--	5	--	--	Christie +4
Rasmussen	8/1	8/2	--	--	16	18	--	--	--	15	--	21	6	--	--	--	--	Christie +3
PPP (D)	7/19	7/21	--	--	13	10	12	--	--	16	--	13	--	--	4	4	--	Paul +3
McClatchy/Marist	7/15	7/18	--	--	10	12	7	--	--	9	--	15	2	4	2	1	--	Christie +3
PPP (D)	5/6	5/9	--	--	15	16	7	--	--	14	--	15	--	--	5	3	--	Rubio +1
Quinnipiac	3/26	4/1	--	--	10	19	--	--	--	15	--	14	2	--	--	3	--	Rubio +4
PPP (D)	3/27	3/30	--	--	12	21	--	--	--	17	--	15	--	2	5	4	--	Rubio +4
PPP (D)	1/31	2/3	--	--	13	22	--	--	11	10	--	13	--	3	--	4	--	Rubio +9
