Candidate	Organization	Type	Total Raised
Biden	Draft Biden 2016	Super PAC	$85,880
Clinton	Ready PAC	Carey	$3,180,593
Clinton	Correct the Record	Carey	$1,435,098
Clinton	It's About Killary	Super PAC	$0
Clinton	Priorities USA Action	Super PAC	$15,654,458
Clinton	Hillary for America	Campaign	$47,549,950
Clinton	Faith Voters PAC	Super PAC	$2,640
Clinton	America Rising PAC	Super PAC	$0
Clinton	Balance of Power PAC	Super PAC	$17,392
Clinton	BillForFirstLady2016.Com	Super PAC	$0
Clinton	Hilary Shmilary PAC	Super PAC	$0
Clinton	Dick Morris' Just Say no to Her!	Super PAC	$0
Clinton	No to HRC 2016	Super PAC	$0
Sanders	Collective Actions PAC	Super PAC	$8,795
Sanders	Progressive Voters of America	Leadership PAC	$16,249
Sanders	Bernie 2016	Campaign	$15,247,353
Sanders	BillionairesForBernie.org	SuperPAC	$0
Webb	Webb 2016	Campaign	$0
Webb	Born Fighting PAC	Leadership PAC	$20,577
