Poll	Start	End	Sample	Type	Clinton	Sanders	Biden	Webb	O'Malley	Chafee	Spread
RCP Average	9/20	10/12	NA	--	43.3	25.1	17.4	0.9	0.4	0.3	Clinton +18.2
FOX NewsFOX News	10/10	10/12	353	RV	45	25	19	0	1	0	Clinton +20
CBS NewsCBS News	10/4	10/8	343	RV	46	27	16	2	0	0	Clinton +19
PPP (D)PPP (D)	10/1	10/4	551	RV	42	24	20	2	1	1	Clinton +18
IBD/TIPPIBD/TIPP	9/26	10/1	348	RV	42	18	22	1	1	0	Clinton +20
USA Today/SuffolkUSA Today	9/24	9/28	430	LV	41	23	20	0	0	1	Clinton +18
Pew Research*Pew*	9/22	9/27	387	RV	45	24	8	0	0	0	Clinton +21
NBC/WSJNBC/WSJ	9/20	9/24	256	RV	42	35	17	1	0	0	Clinton +7
FOX NewsFOX News	9/20	9/22	381	LV	44	30	18	1	2	0	Clinton +14
BloombergBloomberg	9/18	9/21	375	RV	33	24	25	2	1	0	Clinton +8
QuinnipiacQuinnipiac	9/17	9/21	587	RV	43	25	18	0	0	0	Clinton +18
CNN/ORCCNN/ORC	9/17	9/19	392	RV	42	24	22	0	1	0	Clinton +18
CBS News/NYTCBS/NYT	9/9	9/13	351	RV	47	27	15	1	0	1	Clinton +20
ABC/Wash PostABC/WP	9/7	9/10	NA	RV	42	24	21	1	2	1	Clinton +18
CNN/ORCCNN/ORC	9/4	9/8	395	RV	37	27	20	2	3	0	Clinton +10
MonmouthMonmouth	8/31	9/2	339	RV	42	20	22	1	1	0	Clinton +20
PPP (D)PPP (D)	8/28	8/30	545	LV	55	20	--	3	4	1	Clinton +35
QuinnipiacQuinnipiac	8/20	8/25	647	RV	45	22	18	1	1	0	Clinton +23
Rasmussen ReportsRasmussen	8/23	8/24	536	LV	50	24	--	2	2	2	Clinton +26
CNN/ORCCNN/ORC	8/13	8/16	358	RV	47	29	14	1	2	0	Clinton +18
FOX NewsFOX News	8/11	8/13	401	LV	49	30	10	1	1	0	Clinton +19
MonmouthMonmouth	7/30	8/2	429	RV	52	16	12	2	2	0	Clinton +36
FOX NewsFOX News	7/30	8/2	499	LV	51	22	13	1	1	1	Clinton +29
CBS NewsCBS News	7/29	8/2	362	RV	58	17	11	2	1	1	Clinton +41
NBC/WSJNBC/WSJ	7/26	7/30	253	RV	59	25	--	3	3	1	Clinton +34
QuinnipiacQuinnipiac	7/23	7/28	681	RV	55	17	13	1	1	0	Clinton +38
CNN/ORCCNN/ORC	7/22	7/25	392	RV	56	19	15	1	0	0	Clinton +37
PPP (D)PPP (D)	7/20	7/21	496	RV	57	22	--	5	2	3	Clinton +35
ABC/Wash PostABC/WP	7/16	7/19	NA	RV	63	14	12	2	1	0	Clinton +49
FOX NewsFOX News	7/13	7/15	382	RV	59	19	8	1	1	1	Clinton +40
