Poll	Start	End	Carson	Trump	Rubio	Cruz	Bush	Fiorina	Kasich	Paul	Huckabee	Christie	Santorum	Jindal	Graham	Pataki	Spread
RCP Average	10/21	11/2	25.3	24.3	11.0	8.3	6.3	4.0	2.8	2.5	2.3	2	1.0	0.7	0.7	0.0	Carson +1.0
QuinnipiacQuinnipiac	10/29	11/2	23	24	14	13	4	3	3	2	1	3	1	0	0	0	Trump +1
NBC/WSJNBC/WSJ	10/25	10/29	29	23	11	10	8	3	3	2	3	3	--	--	--	--	Carson +6
IBD/TIPPIBD/TIPP	10/24	10/29	23	28	11	6	6	3	1	2	1	1	1	2	0	0	Trump +5
CBS/NY TimesCBS/NYT	10/21	10/25	26	22	8	4	7	7	4	4	4	1	1	0	2	0	Carson +4
NBC/WSJNBC/WSJ	10/15	10/18	22	25	13	9	8	7	3	2	3	1	0	0	0	0	Trump +3
MonmouthMonmouth	10/15	10/18	18	28	6	10	5	6	1	4	4	3	0	1	1	0	Trump +10
ABC/Wash PostABC/WP	10/15	10/18	22	32	10	6	7	5	2	2	3	3	0	0	1	1	Trump +10
CNN/ORCCNN/ORC	10/14	10/17	22	27	8	4	8	4	3	5	5	4	2	0	1	0	Trump +5
FOX NewsFOX News	10/10	10/12	23	24	9	10	8	5	1	3	5	1	0	1	0	1	Trump +1
CBS NewsCBS News	10/4	10/8	21	27	8	9	6	6	2	4	2	3	1	0	0	0	Trump +6
PPP (D)PPP (D)	10/1	10/4	17	27	13	7	10	6	4	2	4	2	2	1	1	1	Trump +10
IBD/TIPPIBD/TIPP	9/26	10/1	24	17	11	6	8	9	4	3	2	2	0	1	0	0	Carson +7
USAT/SuffolkUSA Today	9/24	9/28	13	23	9	6	8	13	2	2	2	1	0	1	1	0	Trump +10
Pew Research*Pew*	9/22	9/27	16	25	8	6	4	8	1	2	2	1	0	0	1	0	Trump +9
NBC/WSJNBC/WSJ	9/20	9/24	20	21	11	5	7	11	6	3	2	3	1	1	0	0	Trump +1
FOX NewsFOX News	9/20	9/22	18	26	9	8	7	9	4	2	3	5	0	0	0	1	Trump +8
BloombergBloomberg	9/18	9/21	16	21	8	5	13	11	4	2	3	4	1	1	0	0	Trump +5
QuinnipiacQuinnipiac	9/17	9/21	17	25	9	7	10	12	2	1	2	2	0	0	0	1	Trump +8
CNN/ORCCNN/ORC	9/17	9/19	14	24	11	6	9	15	2	4	6	3	1	0	0	0	Trump +9
CBS/NY TimesCBS/NYT	9/9	9/13	23	27	6	5	6	4	3	3	6	1	1	0	0	0	Trump +4
ABC/Wash PostABC/WP	9/7	9/10	20	33	7	7	8	2	3	5	3	1	1	1	0	0	Trump +13
CNN/ORCCNN/ORC	9/4	9/8	19	32	3	7	9	3	2	3	5	2	1	1	1	0	Trump +13
MonmouthMonmouth	8/31	9/2	18	30	5	8	8	4	2	2	4	2	0	0	0	0	Trump +12
PPP (D)PPP (D)	8/28	8/30	15	29	7	6	9	8	6	1	5	2	2	0	0	0	Trump +14
QuinnipiacQuinnipiac	8/20	8/25	12	28	7	7	7	5	5	2	3	4	1	0	0	0	Trump +16
