Poll	Start	End	Trump	Carson	Rubio	Cruz	Bush	Paul	Kasich	Fiorina	Huckabee	Christie	Jindal	Santorum	Pataki	Graham	Spread
RCP Average	10/24	11/4	24.8	24.4	11.8	9.6	6	3	3.0	3.0	2.4	2.2	0.8	0.8	0.3	0.0	Trump +0.4
McClatchy/MaristMcClatchy	10/29	11/4	23	24	12	8	8	5	4	3	3	2	1	1	1	0	Carson +1
FOX NewsFOX News	11/1	11/3	26	23	11	11	4	4	4	3	4	2	0	0	0	0	Trump +3
QuinnipiacQuinnipiac	10/29	11/2	24	23	14	13	4	2	3	3	1	3	0	1	0	0	Trump +1
NBC/WSJNBC/WSJ	10/25	10/29	23	29	11	10	8	2	3	3	3	3	--	--	--	--	Carson +6
IBD/TIPPIBD/TIPP	10/24	10/29	28	23	11	6	6	2	1	3	1	1	2	1	0	0	Trump +5
CBS/NY TimesCBS/NYT	10/21	10/25	22	26	8	4	7	4	4	7	4	1	0	1	0	2	Carson +4
NBC/WSJNBC/WSJ	10/15	10/18	25	22	13	9	8	2	3	7	3	1	0	0	0	0	Trump +3
MonmouthMonmouth	10/15	10/18	28	18	6	10	5	4	1	6	4	3	1	0	0	1	Trump +10
ABC/Wash PostABC/WP	10/15	10/18	32	22	10	6	7	2	2	5	3	3	0	0	1	1	Trump +10
CNN/ORCCNN/ORC	10/14	10/17	27	22	8	4	8	5	3	4	5	4	0	2	0	1	Trump +5
FOX NewsFOX News	10/10	10/12	24	23	9	10	8	3	1	5	5	1	1	0	1	0	Trump +1
CBS NewsCBS News	10/4	10/8	27	21	8	9	6	4	2	6	2	3	0	1	0	0	Trump +6
PPP (D)PPP (D)	10/1	10/4	27	17	13	7	10	2	4	6	4	2	1	2	1	1	Trump +10
IBD/TIPPIBD/TIPP	9/26	10/1	17	24	11	6	8	3	4	9	2	2	1	0	0	0	Carson +7
USAT/SuffolkUSA Today	9/24	9/28	23	13	9	6	8	2	2	13	2	1	1	0	0	1	Trump +10
Pew Research*Pew*	9/22	9/27	25	16	8	6	4	2	1	8	2	1	0	0	0	1	Trump +9
NBC/WSJNBC/WSJ	9/20	9/24	21	20	11	5	7	3	6	11	2	3	1	1	0	0	Trump +1
FOX NewsFOX News	9/20	9/22	26	18	9	8	7	2	4	9	3	5	0	0	1	0	Trump +8
BloombergBloomberg	9/18	9/21	21	16	8	5	13	2	4	11	3	4	1	1	0	0	Trump +5
QuinnipiacQuinnipiac	9/17	9/21	25	17	9	7	10	1	2	12	2	2	0	0	1	0	Trump +8
CNN/ORCCNN/ORC	9/17	9/19	24	14	11	6	9	4	2	15	6	3	0	1	0	0	Trump +9
CBS/NY TimesCBS/NYT	9/9	9/13	27	23	6	5	6	3	3	4	6	1	0	1	0	0	Trump +4
ABC/Wash PostABC/WP	9/7	9/10	33	20	7	7	8	5	3	2	3	1	1	1	0	0	Trump +13
CNN/ORCCNN/ORC	9/4	9/8	32	19	3	7	9	3	2	3	5	2	1	1	0	1	Trump +13
MonmouthMonmouth	8/31	9/2	30	18	5	8	8	2	2	4	4	2	0	0	0	0	Trump +12
PPP (D)PPP (D)	8/28	8/30	29	15	7	6	9	1	6	8	5	2	0	2	0	0	Trump +14
QuinnipiacQuinnipiac	8/20	8/25	28	12	7	7	7	2	5	5	3	4	0	1	0	0	Trump +16
CNN/ORCCNN/ORC	8/13	8/16	24	9	8	5	13	6	5	5	4	3	0	1	0	0	Trump +11
FOX NewsFOX News	8/11	8/13	25	12	4	10	9	3	4	5	6	3	1	1	1	0	Trump +13
RasmussenRasmussen	8/9	8/10	17	8	10	7	10	4	4	9	3	4	1	1	0	1	Trump +7
FOX NewsFOX News	7/30	8/2	26	7	5	6	15	5	3	2	6	3	1	2	0	0	Trump +11
MonmouthMonmouth	7/30	8/2	26	5	4	6	12	4	3	2	6	4	1	1	0	1	Trump +14
BloombergBloomberg	7/30	8/2	21	5	6	4	10	5	4	1	7	4	1	2	0	1	Trump +11
CBS NewsCBS News	7/29	8/2	24	6	6	6	13	4	1	0	8	3	2	1	1	0	Trump +11
NBC/WSJNBC/WSJ	7/26	7/30	19	10	5	9	14	6	3	0	6	3	1	1	0	0	Trump +4
QuinnipiacQuinnipiac	7/23	7/28	20	6	6	5	10	6	5	1	6	3	2	1	1	1	Trump +7
RasmussenRasmussen	7/26	7/27	26	5	5	7	10	3	5	1	7	2	2	2	1	1	Trump +12
CNN/ORCCNN/ORC	7/22	7/25	18	4	6	7	15	6	4	1	5	4	2	2	1	1	Trump +3
PPP (D)PPP (D)	7/20	7/21	19	10	10	4	12	4	3	4	8	3	1	1	0	0	Trump +2
ABC/Wash PostABC/WP	7/16	7/19	24	6	7	4	12	6	2	0	8	3	2	1	1	0	Trump +11
FOX NewsFOX News	7/13	7/15	18	6	7	4	14	8	2	1	4	3	0	2	0	0	Trump +3
USAT/SuffolkUSA Today	7/9	7/12	17	4	5	6	14	4	1	1	4	3	1	1	0	0	Trump +3
MonmouthMonmouth	7/9	7/12	13	6	6	9	15	6	1	1	7	2	2	2	0	0	Bush +2
CNN/ORCCNN/ORC	6/26	6/28	12	7	6	3	19	7	2	1	8	3	2	3	0	1	Bush +7
FOX NewsFOX News	6/21	6/23	11	10	8	4	15	9	2	3	6	2	2	3	1	1	Bush +4
NBC/WSJNBC/WSJ	6/14	6/18	1	11	14	4	22	7	1	2	9	4	0	0	0	1	Bush +5
MonmouthMonmouth	6/11	6/14	2	11	9	5	9	6	1	2	8	4	1	3	0	2	Carson +1
FOX NewsFOX News	5/31	6/2	4	11	7	8	12	9	2	2	6	5	1	2	2	2	Tie
CNN/ORCCNN/ORC	5/29	5/31	3	7	14	8	13	8	1	1	10	4	1	2	3	1	Rubio +1
ABC/Wash PostABC/WP	5/28	5/31	4	8	10	8	10	11	3	2	9	6	1	4	1	1	Tie
QuinnipiacQuinnipiac	5/19	5/26	5	10	10	6	10	7	2	2	10	4	1	0	0	1	Tie
FOX NewsFOX News	5/9	5/12	4	13	9	6	13	7	2	1	10	6	1	2	0	0	Tie
PPP (D)PPP (D)	5/7	5/10	--	12	13	10	11	9	--	--	12	5	--	--	--	--	Walker +5
NBC/WSJNBC/WSJ	4/26	4/30	--	7	18	11	23	11	--	1	5	5	--	--	--	--	Bush +5
FOX NewsFOX News	4/19	4/21	5	6	13	8	9	10	2	0	9	6	1	1	1	1	Rubio +1
QuinnipiacQuinnipiac	4/16	4/21	--	3	15	9	13	8	2	1	7	7	1	2	--	2	Rubio +2
CNN/ORCCNN/ORC	4/16	4/19	--	4	11	7	17	11	2	2	9	4	2	3	0	2	Bush +5
