Poll	Start	End	Trump	Carson	Rubio	Cruz	Bush	Fiorina	Huckabee	Christie	Kasich	Paul	Graham	Pataki	Santorum	Jindal	Spread
RCP Average	11/15	11/19	27.5	19.8	12.5	11.3	5.5	3.5	3.3	3	2.8	2.5	0.8	0.8	0.5	0.0	Trump +7.7
FOX NewsFOX News	11/16	11/19	28	18	14	14	5	3	3	3	2	2	0	1	0	--	Trump +10
ABC/Wash PostABC/WP	11/16	11/19	32	22	11	8	6	4	3	2	3	3	1	0	1	0	Trump +10
PPP (D)PPP (D)	11/16	11/17	26	19	13	14	5	4	4	3	3	2	1	1	0	0	Trump +7
BloombergBloomberg	11/15	11/17	24	20	12	9	6	3	3	4	3	3	1	1	1	--	Trump +4
FOX NewsFOX News	11/1	11/3	26	23	11	11	4	3	4	2	4	4	0	0	0	0	Trump +3
McClatchy/MaristMcClatchy	10/29	11/4	23	24	12	8	8	3	3	2	4	5	0	1	1	1	Carson +1
QuinnipiacQuinnipiac	10/29	11/2	24	23	14	13	4	3	1	3	3	2	0	0	1	0	Trump +1
NBC/WSJNBC/WSJ	10/25	10/29	23	29	11	10	8	3	3	3	3	2	--	--	--	--	Carson +6
IBD/TIPPIBD/TIPP	10/24	10/29	28	23	11	6	6	3	1	1	1	2	0	0	1	2	Trump +5
CBS/NY TimesCBS/NYT	10/21	10/25	22	26	8	4	7	7	4	1	4	4	2	0	1	0	Carson +4
NBC/WSJNBC/WSJ	10/15	10/18	25	22	13	9	8	7	3	1	3	2	0	0	0	0	Trump +3
MonmouthMonmouth	10/15	10/18	28	18	6	10	5	6	4	3	1	4	1	0	0	1	Trump +10
ABC/Wash PostABC/WP	10/15	10/18	32	22	10	6	7	5	3	3	2	2	1	1	0	0	Trump +10
CNN/ORCCNN/ORC	10/14	10/17	27	22	8	4	8	4	5	4	3	5	1	0	2	0	Trump +5
FOX NewsFOX News	10/10	10/12	24	23	9	10	8	5	5	1	1	3	0	1	0	1	Trump +1
CBS NewsCBS News	10/4	10/8	27	21	8	9	6	6	2	3	2	4	0	0	1	0	Trump +6
PPP (D)PPP (D)	10/1	10/4	27	17	13	7	10	6	4	2	4	2	1	1	2	1	Trump +10
IBD/TIPPIBD/TIPP	9/26	10/1	17	24	11	6	8	9	2	2	4	3	0	0	0	1	Carson +7
USAT/SuffolkUSA Today	9/24	9/28	23	13	9	6	8	13	2	1	2	2	1	0	0	1	Trump +10
Pew Research*Pew*	9/22	9/27	25	16	8	6	4	8	2	1	1	2	1	0	0	0	Trump +9
NBC/WSJNBC/WSJ	9/20	9/24	21	20	11	5	7	11	2	3	6	3	0	0	1	1	Trump +1
FOX NewsFOX News	9/20	9/22	26	18	9	8	7	9	3	5	4	2	0	1	0	0	Trump +8
BloombergBloomberg	9/18	9/21	21	16	8	5	13	11	3	4	4	2	0	0	1	1	Trump +5
QuinnipiacQuinnipiac	9/17	9/21	25	17	9	7	10	12	2	2	2	1	0	1	0	0	Trump +8
CNN/ORCCNN/ORC	9/17	9/19	24	14	11	6	9	15	6	3	2	4	0	0	1	0	Trump +9
CBS/NY TimesCBS/NYT	9/9	9/13	27	23	6	5	6	4	6	1	3	3	0	0	1	0	Trump +4
