Pollster	Start	End	Pop.	Clinton	Sanders	O.Malley	Biden	Chafee	Lessig	Webb	Undecided
MorningConsult	12/3	12/7	808RV	52	23	2	-	-	-	-	14
Suffolk/USAToday	12/2	12/6	363LV	56	29	4	-	-	-	-	11
IBD/TIPP	11/30	12/4	392RV	51	33	1	-	-	-	-	8
Ipsos/Reuters	11/28	12/2	430A	51	36	4	-	-	-	-	10
CNN	11/27	12/1	403RV	58	30	2	-	-	-	-	3
Quinnipiac	11/23	11/30	573RV	60	30	2	-	-	-	-	7
Ipsos/Reuters	11/21	11/25	362A	58	30	6	-	-	-	-	8
GravisMarketing/OneAmericaNews	11/23	11/23	528LV	59	32	8	-	-	-	-	-
YouGov/Economist	11/19	11/23	764LV	54	34	4	-	-	-	-	5
ABC/Post	11/16	11/19	352RV	60	34	3	-	-	-	-	2
FOX	11/16	11/19	366LV	55	32	3	-	-	-	-	5
Ipsos/Reuters	11/14	11/18	1,275A	52	31	4	-	-	-	-	13
PPP(D)	11/16	11/17	538LV	59	26	7	-	-	-	-	8
Bloomberg/Selzer	11/15	11/17	385RV	55	30	3	-	-	-	-	8
NBC/SurveyMonkey	11/15	11/17	1,983RV	49	33	1	-	-	-	-	11
MorningConsult	11/13	11/16	874RV	57	26	2	-	-	-	-	9
Ipsos/Reuters	11/7	11/11	609A	51	35	3	-	-	-	-	10
PublicReligionResearchInstitute	11/6	11/10	145LV	62	29	2	-	-	-	-	5
CBS/Times	11/6	11/10	418LV	52	33	5	-	-	-	-	-
YouGov/Economist	11/5	11/9	658RV	59	31	2	-	-	0	-	6
MorningConsult	11/5	11/8	1,739RV	54	28	3	-	-	-	-	8
Ipsos/Reuters	10/31	11/4	629A	57	28	6	-	-	-	-	9
McClatchy/Marist	10/29	11/4	511RV	57	35	4	-	-	-	-	4
FOX	11/1	11/3	505LV	56	31	2	-	-	-	-	4
USC/LATimes/SurveyMonkey	10/29	11/3	1,242RV	48	28	2	-	-	1	-	19
Quinnipiac	10/29	11/2	480RV	53	35	0	-	-	1	-	11
MorningConsult	10/29	11/1	1,015RV	56	26	2	-	-	-	-	10
NBC/SurveyMonkey	10/27	10/29	1,226RV	50	30	1	-	-	1	-	12
NBC/WSJ	10/25	10/29	400LV	62	31	3	-	-	-	-	3
IBD/TIPP	10/24	10/29	356RV	48	33	2	-	-	-	-	-
Ipsos/Reuters	10/24	10/28	676A	53	33	2	-	-	-	-	12
YouGov/Economist	10/23	10/27	654RV	61	29	2	-	-	1	-	6
GravisMarketing/OneAmericaNews	10/26	10/26	1,037RV	58	16	3	-	-	-	-	24
MorningConsult	10/22	10/25	688RV	53	26	5	-	-	-	-	10
Ipsos/Reuters	10/17	10/21	873A	45	29	1	16	1	-	-	9
MorningConsult	10/15	10/19	895RV	56	24	1	-	1	-	1	12
ABC/Post	10/15	10/18	444RV	54	23	1	16	0	-	1	5
MonmouthUniversity	10/15	10/18	340RV	48	21	1	17	0	1	1	12
NBC/WSJ	10/15	10/18	400LV	49	29	1	15	0	-	2	4
EmersonCollegePollingSociety	10/16	10/17	390LV	68	20	3	-	0	-	1	6
CNN	10/14	10/17	425RV	45	29	0	18	0	0	1	5
NBC/SurveyMonkey	10/13	10/15	1,857RV	45	31	1	10	0	0	1	9
Ipsos/Reuters	10/10	10/14	530A	51	24	2	16	1	-	-	6
FOX	10/10	10/12	353LV	45	25	1	19	0	0	0	5
MorningConsult	10/8	10/12	826RV	54	22	1	-	1	-	1	15
YouGov/Economist	10/8	10/12	633RV	48	23	2	20	1	1	0	6
CBS	10/4	10/8	311RV	46	27	0	16	0	0	2	5
Ipsos/Reuters	10/3	10/7	640A	44	27	2	18	1	-	-	8
MorningConsult	10/2	10/5	827RV	48	27	1	-	2	-	1	13
FairleighDickinson	10/1	10/5	339RV	45	23	1	17	0	0	1	10
PPP(D)	10/1	10/4	551LV	42	24	1	20	1	0	2	9
PublicReligionResearchInstitute	9/11	10/4	388LV	55	17	0	23	-	-	1	2
GravisMarketing/OneAmericaNews	9/30	10/1	1,021LV	44	25	2	23	2	-	3	-
IBD/TIPP	9/26	10/1	344RV	42	18	-	22	-	-	-	-
Ipsos/Reuters	9/26	9/30	511A	46	25	1	19	1	-	0	6
YouGov/Economist	9/25	9/29	636RV	48	25	2	20	0	-	1	5
Suffolk/USAToday	9/24	9/28	430LV	41	23	0	20	1	0	0	14
MorningConsult	9/24	9/27	643RV	44	23	0	19	0	-	1	9
NBC/WSJ	9/20	9/24	256LV	42	35	0	17	0	-	1	5
Ipsos/Reuters	9/19	9/23	608A	40	30	2	15	0	-	0	10
FOX	9/20	9/22	381LV	44	30	2	18	0	-	1	3
Bloomberg/Selzer	9/18	9/21	375RV	33	24	1	25	0	-	2	7
Quinnipiac	9/17	9/21	587RV	43	25	0	18	0	0	0	12
MorningConsult	9/18	9/20	1,761RV	49	28	2	-	1	-	1	13
Zogby(Internet)	9/18	9/19	515LV	52	24	3	-	-	-	2	19
CNN	9/17	9/19	329RV	42	24	1	22	0	-	0	6
NBC/SurveyMonkey	9/16	9/18	1,774RV	41	29	1	15	0	0	1	9
Ipsos/Reuters	9/12	9/16	642A	46	25	0	18	0	-	1	8
YouGov/Economist	9/11	9/15	651RV	45	26	1	19	1	-	1	6
MorningConsult	9/11	9/13	955RV	54	24	2	-	0	-	2	12
CBS/Times	9/9	9/13	351LV	47	27	0	15	1	-	1	7
ABC/Post	9/7	9/10	356RV	42	24	2	21	1	-	1	9
Ipsos/Reuters	9/5	9/9	625A	42	28	3	14	1	-	0	10
EmersonCollegePollingSociety	9/5	9/8	392LV	48	21	1	21	-	-	1	7
CNN	9/4	9/8	395RV	37	27	3	20	0	-	2	5
MorningConsult	9/4	9/7	893RV	51	27	1	-	1	-	1	13
MonmouthUniversity	8/31	9/2	339RV	42	20	1	22	0	-	1	14
Ipsos/Reuters	8/29	9/2	606A	44	24	0	17	1	-	0	10
YouGov/Economist	8/28	9/1	647RV	44	25	2	21	0	-	1	5
MorningConsult	8/28	8/30	913RV	52	23	1	-	1	-	2	14
PPP(D)	8/28	8/30	545LV	55	20	4	-	1	1	3	15
Ipsos/Reuters	8/22	8/26	452A	48	22	1	15	0	-	2	9
Quinnipiac	8/20	8/25	647RV	45	22	1	18	0	-	1	13
GravisMarketing/OneAmericaNews	8/21	8/22	1,266LV	54	21	2	13	1	-	2	-
Ipsos/Reuters	8/15	8/19	356A	47	23	1	12	1	-	1	11
YouGov/Economist	8/14	8/18	676RV	47	26	1	14	1	-	1	7
MorningConsult	8/14	8/16	884RV	50	24	3	-	1	-	1	21
CNN	8/13	8/16	358RV	47	29	2	14	0	-	1	3
FOX	8/11	8/13	401LV	49	30	1	10	0	-	1	4
Ipsos/Reuters	8/8	8/12	520A	55	18	2	11	0	-	1	10
MorningConsult	8/7	8/9	896RV	56	19	4	-	1	-	2	12
Ipsos/Reuters	8/1	8/5	409A	52	17	1	14	1	-	0	11
Zogby(Internet)/UniversityofAkron	8/3	8/4	459LV	48	15	3	21	-	-	2	10
YouGov/Economist	7/31	8/4	635RV	51	21	1	13	1	-	2	10
MorningConsult	7/31	8/3	860RV	60	16	2	-	1	-	2	13
FOX	7/30	8/2	499LV	51	22	1	13	1	-	1	6
MonmouthUniversity	7/30	8/2	429RV	52	16	2	12	0	-	2	14
CBS	7/29	8/2	362LV	58	17	1	11	1	-	2	7
NBC/WSJ	7/26	7/30	252LV	59	25	3	-	1	-	3	8
