Candidate	Organization	Type	Total Raised
Bush	Jeb 2016	Campaign	$24,814,730
Bush	Millennials Rising	Super PAC	$54,538
Bush	Right to Rise Super PAC	Super PAC	$103,167,846
Bush	Right to Rise Policy Solutions	501c4	0N/A
Bush	Vamos for Jeb 2016	Super PAC	$0
Carson	2016 Cmte	Super PAC	$3,827,445
Carson	National Draft Ben Carson for President Cmte	Super PAC	$3,368,223
Carson	Carson America	Campaign	$31,409,509
Carson	One Vote PAC	Super PAC	$100,000
Carson	BC For a Better Tomorrow	Super PAC	$0
Carson	Our Children's Future	Super PAC	$0
Christie	Chris Christie for President	Campaign	$4,208,984
Christie	America Leads	Super PAC	$11,003,305
Christie	Leadership Matters for America	Leadership PAC	$3,355,840
Christie	Ready for Christie	Super PAC	$0
Christie	Stop Chris Christie PAC	Super PAC	$50
Cruz	Courageous Conservatives PAC	Super PAC	$5,000
Cruz	Jruz PAC	Super PAC	$0
Cruz	Crusaders PAC	Super PAC	$211
Cruz	Cruz for President	Campaign	$26,567,298
Cruz	Take DC Back Action	Super PAC	$341,069
Cruz	Jobs, Growth & Freedom Fund	Leadership PAC	$224,287
Cruz	Keep the Promise I	Super PAC	$11,007,096
Cruz	Keep the Promise II	Super PAC	$10,000,000
Cruz	Keep the Promise III	Super PAC	$15,000,000
Cruz	Keep the Promise PAC	Super PAC	$1,826,500
Cruz	Stand for Principle PAC	Super PAC	$251,026
Fiorina	Carly for America Cmte	Super PAC	$3,458,671
Fiorina	Unlocking Potential PAC	Super PAC	$34,057
Fiorina	Carly for President	Campaign	$8,496,013
Fiorina	Cali for Carly Fiorina	PAC	$0
Graham	Fund for America's Future	Leadership PAC	$132,744
Graham	West Main Street Values	Super PAC	$22
Graham	Lindsey Graham 2016	Campaign	$4,762,211
Graham	Security Is Strength	Super PAC	$2,897,435
Huckabee	Prosperity for All Fund	527	$0
Huckabee	America Takes Action	501c4	0N/A
Huckabee	HuckPAC	Leadership PAC	$887,434
Huckabee	Pursuing America's Greatness	Super PAC	$3,604,987
Huckabee	Huckabee for President	Campaign	$3,246,200
Kasich	Balanced Budget Forever	501c4	0N/A
Kasich	New Day for America	Super PAC	$0
Kasich	Kasich for America	Campaign	$4,388,168
Kasich	New Day Independent Media Cmte	527	$0
Pataki	We the People, Not Washington PAC	Super PAC	$859,244
Pataki	Americans for Real Change	501c4	0N/A
Pataki	Pataki for President	Campaign	$409,309
Paul	OnlyRand.com	Super PAC	$0
Paul	Concerned American Voters	Super PAC	$1,879,825
Paul	America's Liberty PAC	Super PAC	$3,132,596
Paul	Forever Free PAC	Super PAC	$43,167
Paul	Human Action	Super PAC	$4,100
Paul	Rand PAC 2016	Super PAC	$0
Paul	Ready For Rand	PAC	$117
Paul	Reinventing A New Direction	Leadership PAC	$723,469
Paul	Rand Paul for President	Campaign	$9,442,031
Rubio	Marco Rubio for President	Campaign	$15,515,638
Rubio	Conservative Solutions PAC	Super PAC	$16,057,755
Rubio	Conservative Solutions Project	501c4	0N/A
Rubio	Reclaim America PAC	Leadership PAC	$1,258,027
Rubio	Baby Got PAC	Super PAC	$0
Rubio	Americans for Marco Rubio	Super PAC	$0
Rubio	Students for Rubio	Super PAC	$0
Santorum	Patriot Voices PAC	Carey	$310,962
Santorum	Santorum for President	Campaign	$1,054,336
Santorum	Patriot Voices	501c4	0N/A
Santorum	Working Again PAC	Super PAC	$0
Trump	HC4DT	Super PAC	$0
Trump	Make America Great	Super PAC	$0
Trump	Trumpet! PAC	Super PAC	$0
Trump	Americans for Greatness	Super PAC	$0
Trump	Let's Trump Politics	Super PAC	$0
Trump	Donald J Trump for President	Campaign	$5,828,922
Trump	Committee to Restore America's Greatness	Super PAC	$0
Trump	Patriots for Trump	Super PAC	$0
Trump	Make America Great Again	501c4	0N/A
Trump	Make America Great Again PAC	Super PAC	$0
Trump	American National Trump SuperPAC	Super PAC	$0
Trump	America's Trump Card SuperPAC	Super PAC	$0
