Poll	Start	End	Sample	Type	MoE	Clinton	Sanders	O'Malley	Spread
RCP Average	11/27	12/8	NA	--	--	54.3	31.0	2.3	Clinton +23.3
CBS/NY TimesCBS/NYT	12/4	12/8	384	LV	6.0	52	32	2	Clinton +20
USA Today/SuffolkUSA Today	12/2	12/6	363	LV	5.1	56	29	4	Clinton +27
IBD/TIPPIBD/TIPP	11/30	12/4	345	RV	5.4	51	33	1	Clinton +18
CNN/ORCCNN/ORC	11/27	12/1	403	RV	5.0	58	30	2	Clinton +28
QuinnipiacQuinnipiac	11/23	11/30	573	RV	4.1	60	30	2	Clinton +30
FOX NewsFOX News	11/16	11/19	366	RV	5.0	55	32	3	Clinton +23
ABC/Wash PostABC/WP	11/16	11/19	352	RV	6.0	60	34	3	Clinton +26
PPP (D)PPP (D)	11/16	11/17	538	RV	4.2	59	26	7	Clinton +33
BloombergBloomberg	11/15	11/17	385	RV	5.0	55	30	3	Clinton +25
Rasmussen ReportsRasmussen	11/15	11/16	506	LV	4.5	50	29	6	Clinton +21
CBS News/NYTCBS/NYT	11/6	11/10	418	RV	6.0	52	33	5	Clinton +19
FOX NewsFOX News	11/1	11/3	505	RV	4.0	56	31	2	Clinton +25
McClatchy/MaristMcClatchy	10/30	11/5	511	RV	4.3	57	35	4	Clinton +22
QuinnipiacQuinnipiac	10/29	11/2	502	RV	4.4	53	35	0	Clinton +18
NBC/WSJNBC/WSJ	10/25	10/29	400	LV	4.9	62	31	3	Clinton +31
IBD/TIPPIBD/TIPP	10/24	10/29	356	RV	5.3	48	33	2	Clinton +15
NBC News/Wall St. JrnlNBC/WSJ	10/15	10/18	400	RV	4.9	49	29	1	Clinton +20
MonmouthMonmouth	10/15	10/18	340	RV	5.3	48	21	0	Clinton +27
ABC News/Wash PostABC/WP	10/15	10/18	444	RV	5.5	54	23	1	Clinton +31
CNN/ORCCNN/ORC	10/14	10/17	291	RV	5.0	45	29	0	Clinton +16
FOX NewsFOX News	10/10	10/12	353	RV	5.0	45	25	1	Clinton +20
CBS NewsCBS News	10/4	10/8	343	RV	6.0	46	27	0	Clinton +19
PPP (D)PPP (D)	10/1	10/4	551	RV	4.2	42	24	1	Clinton +18
IBD/TIPPIBD/TIPP	9/26	10/1	348	RV	--	42	18	1	Clinton +20
USA Today/SuffolkUSA Today	9/24	9/28	430	LV	4.7	41	23	0	Clinton +18
Pew Research*Pew*	9/22	9/27	387	RV	--	45	24	0	Clinton +21
