Poll	Start	End	Trump	Cruz	Rubio	Carson	Bush	Christie	Kasich	Fiorina	Paul	Huckabee	Graham	Pataki	Santorum	Spread
RCP Average	11/27	12/13	33.0	16.1	12.6	12.0	4	2.9	2.3	2.3	2.1	2.0	0.3	0.2	0.2	Trump +16.9
ABC News/Wash PostABC/WP	12/10	12/13	38	15	12	12	5	4	2	1	2	1	1	0	0	Trump +23
MonmouthMonmouth	12/10	12/13	41	14	10	9	3	2	3	2	2	2	1	1	0	Trump +27
NBC/WSJNBC/WSJ	12/6	12/9	27	22	15	11	7	3	2	5	2	3	--	--	--	Trump +5
CBS/NY TimesCBS/NYT	12/4	12/8	35	16	9	13	3	3	3	1	4	3	0	0	0	Trump +19
USA Today/SuffolkUSA Today	12/2	12/6	27	17	16	10	4	2	2	1	2	1	0	0	1	Trump +10
IBD/TIPPIBD/TIPP	11/30	12/4	27	13	14	15	3	2	2	3	2	2	0	--	0	Trump +12
CNN/ORCCNN/ORC	11/27	12/1	36	16	12	14	3	4	2	3	1	2	0	0	0	Trump +20
QuinnipiacQuinnipiac	11/23	11/30	27	16	17	16	5	2	2	3	2	1	0	0	0	Trump +10
FOX NewsFOX News	11/16	11/19	28	14	14	18	5	3	2	3	2	3	0	1	0	Trump +10
ABC/Wash PostABC/WP	11/16	11/19	32	8	11	22	6	2	3	4	3	3	1	0	1	Trump +10
PPP (D)PPP (D)	11/16	11/17	26	14	13	19	5	3	3	4	2	4	1	1	0	Trump +7
BloombergBloomberg	11/15	11/17	24	9	12	20	6	4	3	3	3	3	1	1	1	Trump +4
FOX NewsFOX News	11/1	11/3	26	11	11	23	4	2	4	3	4	4	0	0	0	Trump +3
McClatchy/MaristMcClatchy	10/29	11/4	23	8	12	24	8	2	4	3	5	3	0	1	1	Carson +1
QuinnipiacQuinnipiac	10/29	11/2	24	13	14	23	4	3	3	3	2	1	0	0	1	Trump +1
NBC/WSJNBC/WSJ	10/25	10/29	23	10	11	29	8	3	3	3	2	3	--	--	--	Carson +6
IBD/TIPPIBD/TIPP	10/24	10/29	28	6	11	23	6	1	1	3	2	1	0	0	1	Trump +5
CBS/NY TimesCBS/NYT	10/21	10/25	22	4	8	26	7	1	4	7	4	4	2	0	1	Carson +4
NBC/WSJNBC/WSJ	10/15	10/18	25	9	13	22	8	1	3	7	2	3	0	0	0	Trump +3
MonmouthMonmouth	10/15	10/18	28	10	6	18	5	3	1	6	4	4	1	0	0	Trump +10
ABC/Wash PostABC/WP	10/15	10/18	32	6	10	22	7	3	2	5	2	3	1	1	0	Trump +10
CNN/ORCCNN/ORC	10/14	10/17	27	4	8	22	8	4	3	4	5	5	1	0	2	Trump +5
FOX NewsFOX News	10/10	10/12	24	10	9	23	8	1	1	5	3	5	0	1	0	Trump +1
CBS NewsCBS News	10/4	10/8	27	9	8	21	6	3	2	6	4	2	0	0	1	Trump +6
PPP (D)PPP (D)	10/1	10/4	27	7	13	17	10	2	4	6	2	4	1	1	2	Trump +10
IBD/TIPPIBD/TIPP	9/26	10/1	17	6	11	24	8	2	4	9	3	2	0	0	0	Carson +7
USAT/SuffolkUSA Today	9/24	9/28	23	6	9	13	8	1	2	13	2	2	1	0	0	Trump +10
Pew Research*Pew*	9/22	9/27	25	6	8	16	4	1	1	8	2	2	1	0	0	Trump +9
