Candidate	Organization	Revolvers*	Type	Total Raised	Outside
Biden	Draft Biden 2016	0	SuperPAC	$1,024,463	0
Clinton	America's Teachers	0	SuperPAC	$1,828	0
Clinton	Women Against Hillary	0	SuperPAC	$154	0
Clinton	Blue Answer PAC	0	SuperPAC	$180,922	0
Clinton	America Rising PAC	0	SuperPAC	$0	0
Clinton	Balance of Power PAC	0	SuperPAC	$19,156	0
Clinton	BillForFirstLady2016.Com	0	SuperPAC	$0	0
Clinton	Hilary Shmilary PAC	0	SuperPAC	$0	0
Clinton	Dick Morris' Just Say no to Her!	0	SuperPAC	$0	0
Clinton	African Americans for Hillary	0	SuperPAC	$0	0
Clinton	No to HRC 2016	0	SuperPAC	$0	0
Clinton	Faith Voters PAC	0	SuperPAC	$11,640	0
Clinton	Ready PAC	6	Carey	$3,465,425	1
Clinton	45Committee	0	501c4	0N/A	0
Clinton	It's About Killary	0	SuperPAC	$0	0
Clinton	Priorities USA Action	14	SuperPAC	$50,632,863	3
Clinton	Hillary for America	0	Campaign	$130,443,637	0
Clinton	Correct the Record	4	Carey	$3,436,572	4
Sanders	Feel Bern	0	SuperPAC	$11,999	0
Sanders	BillionairesForBernie.org	0	SuperPAC	$0	0
Sanders	Bernie 2016	0	Campaign	$96,311,423	0
Sanders	Las Cruces for Bernie	0	SuperPAC	$1,323	0
Sanders	Collective Actions PAC	0	SuperPAC	$8,795	0
Sanders	Progressive Voters of America	0	Leadership PAC	$23,116	0
