Pollster	Start	End	Pop.	Trump	Cruz	Rubio	Kasich	Bush	Carson	Christie	Fiorina	Gilmore	Graham	Huckabee	Jindal	Pataki	Perry	Rand.Paul	Santorum	Walker	Undecided
MorningConsult	3/4	3/6	781RV	40	23	14	10	-	-	-	-	-	-	-	-	-	-	-	-	-	8
ABC/Post	3/3	3/6	400RV	34	25	18	13	-	-	-	-	-	-	-	-	-	-	-	-	-	7
NBC/WSJ	3/3	3/6	397LV	30	27	20	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NBC/SurveyMonkey	2/29	3/6	6,481RV	39	20	18	9	-	8	-	-	-	-	-	-	-	-	-	-	-	6
Ipsos/Reuters	2/27	3/2	542RV	41	16	20	10	-	10	-	-	-	-	-	-	-	-	-	-	-	4
NBC/SurveyMonkey	2/22	2/28	8,759RV	40	18	21	7	-	8	-	-	-	-	-	-	-	-	-	-	-	6
MorningConsult	2/26	2/27	777RV	44	15	14	5	-	9	-	-	-	-	-	-	-	-	-	-	-	8
CNN	2/24	2/27	427RV	49	15	16	6	-	10	-	-	-	-	-	-	-	-	-	-	-	2
YouGov/Economist	2/24	2/27	456LV	44	21	17	8	-	7	-	-	-	-	-	-	-	-	-	-	-	3
MorningConsult	2/24	2/25	1,430RV	42	14	19	5	-	9	-	-	-	-	-	-	-	-	-	-	-	9
Ipsos/Reuters	2/20	2/24	493RV	42	22	13	8	3	8	-	-	-	-	-	-	-	-	-	-	-	4
IBD/TIPP	2/19	2/24	400RV	31	20	18	7	1	8	-	-	-	-	-	-	-	-	-	-	-	11
Rasmussen	2/21	2/22	697LV	36	17	21	12	-	8	-	-	-	-	-	-	-	-	-	-	-	4
NBC/SurveyMonkey	2/15	2/21	3,368RV	36	19	16	8	4	8	-	-	-	-	-	-	-	-	-	-	-	7
FOX	2/15	2/17	404LV	36	19	15	8	9	9	-	-	-	-	-	-	-	-	-	-	-	3
Ipsos/Reuters	2/13	2/17	476RV	40	17	11	9	9	10	-	-	1	-	-	-	-	-	-	-	-	4
McLaughlin(R)	2/11	2/17	422LV	35	22	14	7	7	12	-	-	-	-	-	-	-	-	-	-	-	4
MorningConsult	2/15	2/16	662RV	41	12	14	3	7	11	-	-	-	-	-	-	-	-	-	-	-	9
NBC/WSJ	2/14	2/16	400LV	26	28	17	11	4	10	-	-	-	-	-	-	-	-	-	-	-	4
CBS	2/12	2/16	581LV	35	18	12	11	4	6	-	-	-	-	-	-	-	-	-	-	-	-
RobertMorrisUniversity	2/11	2/16	252LV	37	19	14	4	6	13	-	-	-	-	-	-	-	-	-	-	-	7
Suffolk/USAToday	2/11	2/15	358LV	35	20	17	7	6	4	-	-	-	-	-	-	-	-	-	-	-	12
YouGov/Economist	2/11	2/15	472LV	39	19	16	11	6	7	-	-	-	-	-	-	-	-	-	-	-	1
Quinnipiac	2/10	2/15	602RV	39	18	19	6	4	4	-	-	-	-	-	-	-	-	-	-	-	10
NBC/SurveyMonkey	2/8	2/14	3,411RV	38	18	14	7	4	8	-	1	-	-	-	-	-	-	-	-	-	6
MorningConsult	2/10	2/11	710RV	44	17	10	4	8	10	-	-	-	-	-	-	-	-	-	-	-	1
Ipsos/Reuters	2/6	2/10	513RV	35	23	14	2	7	11	3	3	-	-	-	-	-	-	-	-	-	3
MorningConsult	2/3	2/7	1,757RV	38	17	15	2	6	9	3	2	-	-	-	-	-	-	-	-	-	8
NBC/SurveyMonkey	2/1	2/7	2,887RV	35	20	17	3	3	7	3	2	0	-	0	-	-	-	2	0	-	5
Rasmussen	2/3	2/4	725LV	31	20	21	6	4	5	3	3	-	-	-	-	-	-	-	-	-	3
Quinnipiac	2/2	2/4	507RV	31	22	19	3	3	6	3	2	0	-	-	-	-	-	-	-	-	10
MorningConsult	2/2	2/3	641RV	38	14	12	2	5	9	3	3	-	-	-	-	-	-	-	1	-	8
PPP(D)	2/2	2/3	531LV	25	21	21	5	5	11	3	3	1	-	-	-	-	-	5	0	-	1
Ipsos/Reuters	1/30	2/3	568RV	36	16	14	3	7	8	5	2	0	-	2	-	-	-	2	0	-	4
MorningConsult	1/29	2/1	1,491RV	41	12	8	2	7	9	3	1	-	-	3	-	-	-	3	1	-	8
NBC/SurveyMonkey	1/25	1/31	3,057RV	39	20	12	3	3	7	3	2	0	-	2	-	-	-	3	1	-	4
YouGov/Economist	1/27	1/30	481LV	43	18	14	5	4	4	2	2	1	-	2	-	-	-	4	1	-	-
IBD/TIPP	1/22	1/27	395RV	31	21	10	2	5	9	1	2	0	-	1	-	-	-	4	1	-	12
Bloomberg/PurpleStrategies	1/22	1/26	1,021LV	34	12	14	4	7	9	2	2	0	-	3	-	-	-	3	1	-	9
MorningConsult	1/21	1/24	1,552RV	40	11	9	2	7	10	3	1	-	-	3	-	-	-	2	1	-	10
CNN	1/21	1/24	405RV	41	19	8	1	5	6	4	2	0	-	3	-	-	-	3	0	-	5
ABC/Post	1/20	1/24	356RV	37	21	11	2	5	7	4	3	-	-	2	-	-	-	1	0	-	6
PublicReligionResearchInstitute	1/20	1/24	381A	31	14	9	3	5	14	2	2	-	-	1	-	-	-	3	-	-	15
NBC/SurveyMonkey	1/18	1/24	2,327RV	39	17	10	3	4	8	3	2	0	-	1	-	-	-	3	0	-	9
FOX	1/18	1/21	405LV	34	20	11	4	4	8	3	1	1	-	2	-	-	-	2	0	-	8
Zogby(Internet)	1/19	1/20	294LV	45	13	8	3	6	4	2	3	-	-	2	-	-	-	2	2	-	10
Ipsos/Reuters	1/16	1/20	588A	36	12	8	2	10	11	4	3	1	-	2	-	-	-	4	0	-	6
YouGov/Economist	1/15	1/19	476LV	38	19	14	2	3	7	3	2	0	-	2	-	-	-	4	1	-	3
