Poll	Start	End	Sample	Trump	Cruz	Rubio	Kasich	Carson	Spread
RCP Average	2/19	3/6	--	36.0	20.8	18.6	12.0	8.7	Trump +15.2
NBC News/Wall St. JrnlNBC/WSJ	3/3	3/6	397 LV	30	27	20	22	--	Trump +3
ABC News/Wash PostABC/WP	3/3	3/6	RV	34	25	18	13	--	Trump +9
CNN/ORCCNN/ORC	2/24	2/27	427 RV	49	15	16	6	10	Trump +33
IBD/TIPPIBD/TIPP	2/19	2/24	400 RV	31	20	18	7	8	Trump +11
Rasmussen ReportsRasmussen	2/21	2/22	697 LV	36	17	21	12	8	Trump +15
FOX NewsFOX News	2/15	2/17	404 LV	36	19	15	8	9	Trump +17
NBC News/Wall St. JrnlNBC/WSJ	2/14	2/16	400 LV	26	28	17	11	10	Cruz +2
CBS NewsCBS News	2/12	2/16	581 LV	35	18	12	11	6	Trump +17
USA Today/SuffolkUSA Today	2/11	2/15	358 LV	35	20	17	7	4	Trump +15
QuinnipiacQuinnipiac	2/10	2/15	602 LV	39	18	19	6	4	Trump +20
QuinnipiacQuinnipiac	2/2	2/4	507 RV	31	22	19	3	6	Trump +9
Rasmussen ReportsRasmussen	2/3	2/4	725 LV	31	20	21	6	5	Trump +10
PPP (D)PPP (D)	2/2	2/3	531 LV	25	21	21	5	11	Trump +4
IBD/TIPPIBD/TIPP	1/22	1/27	395 RV	31	21	10	2	9	Trump +10
CNN/ORCCNN/ORC	1/21	1/24	405 RV	41	19	8	1	6	Trump +22
ABC News/Wash PostABC/WP	1/21	1/24	356 RV	37	21	11	2	7	Trump +16
FOX NewsFOX News	1/18	1/21	405 LV	34	20	11	4	8	Trump +14
MonmouthMonmouth	1/15	1/18	385 RV	36	17	11	3	8	Trump +19
NBC News/Wall St. JrnlNBC/WSJ	1/9	1/13	400 LV	33	20	13	3	12	Trump +13
CBS News/NY TimesCBS/NYT	1/7	1/10	442 LV	36	19	12	2	6	Trump +17
IBD/TIPPIBD/TIPP	1/4	1/8	414 LV	34	18	9	2	8	Trump +16
FOX NewsFOX News	1/4	1/7	423 RV	35	20	13	2	10	Trump +15
CNN/ORCCNN/ORC	12/17	12/21	438 RV	39	18	10	2	10	Trump +21
QuinnipiacQuinnipiac	12/16	12/20	508 RV	28	24	12	1	10	Trump +4
FOX NewsFOX News	12/16	12/17	402 RV	39	18	11	2	9	Trump +21
PPP (D)PPP (D)	12/16	12/17	532 LV	34	18	13	2	6	Trump +16
ABC News/Wash PostABC/WP	12/10	12/13	1002 A	38	15	12	2	12	Trump +23
MonmouthMonmouth	12/10	12/13	385 RV	41	14	10	3	9	Trump +27
NBC News/Wall St. JrnlNBC/WSJ	12/6	12/9	400 LV	27	22	15	2	11	Trump +5
CBS News/NY TimesCBS/NYT	12/4	12/8	431 LV	35	16	9	3	13	Trump +19
USA Today/SuffolkUSA Today	12/2	12/6	357 LV	27	17	16	2	10	Trump +10
IBD/TIPPIBD/TIPP	11/30	12/4	394 RV	27	13	14	2	15	Trump +12
CNN/ORCCNN/ORC	11/27	12/1	445 RV	36	16	12	2	14	Trump +20
QuinnipiacQuinnipiac	11/23	11/30	672 RV	27	16	17	2	16	Trump +10
FOX NewsFOX News	11/16	11/19	434 RV	28	14	14	2	18	Trump +10
ABC News/Wash PostABC/WP	11/16	11/19	373 RV	32	8	11	3	22	Trump +10
PPP (D)PPP (D)	11/16	11/17	607 RV	26	14	13	3	19	Trump +7
BloombergBloomberg	11/15	11/17	379 RV	24	9	12	3	20	Trump +4
FOX NewsFOX News	11/1	11/3	--	26	11	11	4	23	Trump +3
McClatchy/MaristMcClatchy	10/29	11/4	426 RV	23	8	12	4	24	Carson +1
QuinnipiacQuinnipiac	10/29	11/2	502 RV	24	13	14	3	23	Trump +1
NBC News/Wall St. JrnlNBC/WSJ	10/25	10/29	400 LV	23	10	11	3	29	Carson +6
IBD/TIPPIBD/TIPP	10/24	10/29	402 RV	28	6	11	1	23	Trump +5
CBS News/NY TimesCBS/NYT	10/21	10/25	575 RV	22	4	8	4	26	Carson +4
NBC News/Wall St. JrnlNBC/WSJ	10/15	10/18	400 RV	25	9	13	3	22	Trump +3
MonmouthMonmouth	10/15	10/18	348 RV	28	10	6	1	18	Trump +10
ABC News/Wash PostABC/WP	10/15	10/18	RV	32	6	10	2	22	Trump +10
CNN/ORCCNN/ORC	10/14	10/17	465 RV	27	4	8	3	22	Trump +5
FOX NewsFOX News	10/10	10/12	398 LV	24	10	9	1	23	Trump +1
CBS NewsCBS News	10/4	10/8	419 RV	27	9	8	2	21	Trump +6
PPP (D)PPP (D)	10/1	10/4	627 RV	27	7	13	4	17	Trump +10
IBD/TIPPIBD/TIPP	9/26	10/1	377 RV	17	6	11	4	24	Carson +7
USA Today/SuffolkUSA Today	9/24	9/28	380 LV	23	6	9	2	13	Trump +10
